VC20215	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	21808049	21694630	0	96	4005	21293433	442373	22646	13114	10091	8153	5690	3533	1947	1011	487	254	208	278	585	1384	2862	1529639	1314392	1045590	775878	556666	384903	251701	161473	101045	67504	
VC20217	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	22643870	22535727	0	82	5924	22112282	456908	24124	14008	10790	8330	6167	3689	2044	1056	516	256	163	219	437	1134	1747	1595774	1372204	1095819	812089	581833	404353	263940	168523	106299	70330	
VC20218	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	17483968	17408266	0	87	369	17075214	349962	18294	11030	8558	6516	4819	2948	1547	828	410	196	159	226	388	1049	1824	1249701	1081241	869241	648035	466776	325914	212633	137698	86772	57376	
VC20219	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	20577638	20503513	0	79	58	20092035	418280	21863	12684	9681	7503	5592	3388	1871	970	468	219	161	188	391	843	1501	1459061	1260755	1008749	749043	536549	372355	243447	155750	98098	64404	
VC20225	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	15685673	15613958	0	84	5485	15315508	318480	16739	9632	7484	5712	4089	2520	1273	753	358	187	121	169	309	840	1499	1103407	948800	758157	562883	405026	281849	184196	118464	75082	49538	
VC20319	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	25731344	25229243	0	91	7934	25121038	525604	26985	15334	11929	9083	6532	4032	2164	1152	605	326	262	333	613	1728	3624	1777387	1527697	1228533	924217	679491	489781	335735	227383	149117	97791	
VC20351	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	15778970	15652623	0	87	6814	15406103	321458	16739	9465	7335	5602	4072	2451	1318	714	351	197	161	182	339	854	1629	1091248	935410	746933	556187	397888	278221	185030	119585	75815	50121	
VC20367	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	13190843	13091553	0	97	937	12875324	271605	14035	8002	6101	4751	3426	2102	1131	572	318	194	137	175	335	873	1762	905258	773431	617028	458975	330544	230674	152077	98290	62358	41025	
VC20371	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	12990889	12895487	0	112	886	12685462	259031	13937	8167	6343	4944	3715	2249	1167	654	348	166	150	201	444	1196	2715	929958	805666	647936	483876	349779	245471	161771	105671	67776	44570	
VC20373	100bp	telseq_elegans	TTAGGC	noreadgroup	txt	UNKNOWN		UNKNOWN	19035316	18751189	0	95	3563	18585657	385025	20286	11722	9094	6884	5134	3189	1669	863	455	236	218	255	484	1367	2778	1337944	1156547	929185	697968	509003	364368	246338	164804	106869	70603	
